Unnamed: 0,Volume,Last,Chg,% Chg
Aurora Cannabis Inc. (ACB),69.9M,5.37,1.69,45.92
RF Acquisition Corp. Cl A (RFAC),1.4M,8.74,2.73,45.42
TransCode Therapeutics Inc. (RNAZ),17.2M,8.94,2.78,45.13
BigBear.ai Inc. (BBAI),269.6M,7.11,2.2,44.81
Cumberland Pharmaceuticals Inc. (CPIX),60.2M,5.08,1.32,35.11
Rapid Micro Biosystems Inc. (RPID),2.3M,3.03,0.74,32.31
Pasithea Therapeutics Corp. (KTTA),61.5M,2.74,0.66,31.73
Aviat Networks Inc. (AVNW),1.2M,26.35,5.8,28.22
Quantum Biopharma Ltd. (QNTM),17.5M,8.58,1.87,27.87
Aurora Mobile Ltd. ADR (JG),715.4K,11.17,2.36,26.79
SEALSQ Corp. (LAES),27.0M,3.82,0.72,23.23
Canopy Growth Corp. (CGC),33.9M,2.53,0.46,22.22
GRAIL Inc. (GRAL),1.5M,34.39,6.11,21.61
Children's Place Inc. (PLCE),1.4M,11.11,1.96,21.42
U Power Ltd. Cl A (UCAR),273.9K,2.91,0.48,19.75
Rekor Systems Inc. (REKR),14.4M,2.63,0.43,19.55
Neurogene Inc. (NGNE),816.7K,21.53,3.46,19.11
Valneva SE ADR (VALN),114.3K,6.67,1.06,18.89
Mercury Systems Inc. (MRCY),3.4M,49.88,7.79,18.51
Acrivon Therapeutics Inc. (ACRV),738.5K,6.97,1.06,17.94
Criteo S.A. ADR (CRTO),1.4M,45.17,6.77,17.63
Corbus Pharmaceuticals Holdings Inc. (CRBP),331.8K,11.33,1.68,17.41
PicoCELA Inc. ADR (PCLA),1.1M,6.35,0.91,16.73
Mueller Water Products Inc. (MWA),5.7M,26.93,3.85,16.68
Reborn Coffee Inc. (REBN),6.2M,5.21,0.74,16.55
Maris-Tech Ltd. (MTEK),116.9K,3.1,0.42,15.67
Mattel Inc. (MAT),18.4M,20.84,2.77,15.33
Oric Pharmaceuticals Inc. (ORIC),1.0M,12.39,1.64,15.26
Nexalin Technology Inc. (NXL),913.3K,3.58,0.47,15.11
Embraer S/A ADR (ERJ),3.5M,45.76,5.91,14.83
Binah Capital Group Inc. (BCG),76.2K,2.33,0.3,14.78
Jayud Global Logistics Ltd. (JYD),145.5K,4.69,0.6,14.67
Ginkgo Bioworks Holdings Inc. (DNA),3.0M,16.36,2.07,14.49
RADCOM Ltd. (RDCM),501.9K,14.79,1.87,14.47
Ichor Holdings Ltd. (ICHR),706.5K,32.28,4.07,14.41
Mind Medicine (MindMed) Inc. (MNMD),11.2M,9.34,1.17,14.32
Springview Holdings Ltd. (SPHL),99.9K,2.42,0.3,14.15
Champion Homes Inc. (SKY),1.1M,105.27,12.52,13.5
Ascent Solar Technologies Inc. (ASTI),54.4K,2.32,0.28,13.45
Duos Technologies Group Inc. (DUOT),573.7K,7.28,0.86,13.4
Legacy Education Inc. (LGCY),165.4K,9.63,1.12,13.16
Cineverse Corp. (CNVS),308.9K,4.26,0.49,13.0
VNET Group Inc. ADR (VNET),8.6M,8.51,0.97,12.86
Foxx Development Holdings Inc. (FOXX),136.7K,5.01,0.57,12.84
Nutex Health Inc. (NUTX),51.3K,54.93,6.24,12.82
NOV Inc. (NOV),13.5M,16.43,1.85,12.69
INmune Bio Inc. (INMB),321.2K,10.48,1.17,12.57
Tempus AI Inc. (TEM),22.8M,69.18,7.33,11.85
icad Inc. (ICAD),645.7K,3.69,0.39,11.82
908 Devices Inc. (MASS),431.6K,2.65,0.28,11.81
Skeena Resources Ltd. (SKE),813.4K,11.49,1.21,11.77
Arcturus Therapeutics Holdings Inc. (ARCT),404.0K,17.93,1.88,11.71
Nova Minerals Ltd. ADR (NVA),52.1K,11.87,1.22,11.46
Agenus Inc. (AGEN),701.5K,3.9,0.4,11.43
Ceragon Networks Ltd. (CRNT),6.0M,5.37,0.55,11.41
Johnson Controls International PLC (JCI),12.3M,86.01,8.72,11.28
SSR Mining Inc. (SSRM),6.2M,9.11,0.92,11.23
Dianthus Therapeutics Inc. (DNTH),195.5K,24.73,2.44,10.95
Tenax Therapeutics Inc. (TENX),108.0K,6.65,0.66,10.93
Zedge Inc. Cl B (ZDGE),247.3K,2.89,0.28,10.73
Amentum Holdings Inc. (AMTM),4.6M,22.68,2.18,10.63
Allbirds Inc. (BIRD),145.6K,7.3,0.7,10.61
Gain Therapeutics Inc. (GANX),255.8K,2.44,0.23,10.41
Pliant Therapeutics Inc. (PLRX),565.1K,12.55,1.18,10.38
Mural Oncology PLC (MURA),223.8K,4.07,0.38,10.3
Tango Therapeutics Inc. (TNGX),755.6K,3.35,0.31,10.2
